Type,Units,Time,Velocity,Barometric Pressure,Temperature,Humidity,Dynamic Pressure,Model Pressure,Speed,Frequency,Power,Torque,Current,Yaw Pos,Pitch Pos,Drag Force,Side Force,Lift Force,Roll Moment,Pitch Moment,Yaw Moment,Valve Position,cDAQ1Mod2/ai1,cDAQ1Mod2/ai10,cDAQ1Mod2/ai11,cDAQ1Mod2/ai12,cDAQ1Mod2/ai13,N1,N2,S1,S2,RM,AF
Type,USC / SI,Time,fps / m/s,PSI / Pascals,°F / °C,% / %,PSI / Pascals,PSI / Pascals,RPM / RPM,Hertz / Hertz,Horsepower / kW,% / %,Amps / Amperes,Deg / Deg,Deg / Deg,lbf / N,lbf / N,lbf / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,% / %, / , / , / , / , / ,mV / mV,mV / mV,mV / mV,mV / mV,mV / mV,mV / mV
Mult,USC,220307 02:22:31.675941,   50.359950,   14.572200,   70.252181,   55.466713,    0.020210,   -0.000200,  287.806928,   14.388000,    2.145632,   -9.240000,   75.000000,    0.000009,    5.999183,   -0.395931,   -0.298572,   -4.861856,   -1.941638,   40.815830,    0.663892,   -0.868222,    1.072502,   -0.000000,   -0.000000,    0.000000,    0.000003,    0.000084,    0.000083,    0.000083,    0.000083,    0.000083,    0.000083
Mult,USC,220307 02:22:31.775941,   50.668380,   14.572190,   70.213331,   55.435234,    0.020460,   -0.000200,  287.629306,   14.382000,    2.413836,   -9.720000,   74.000000,    0.000006,    5.999200,   -0.401622,   -0.297042,   -4.879616,   -1.913044,   40.923303,    0.719383,   -0.994616,    1.074594,    0.000000,   -0.000000,   -0.000001,    0.000003,    0.000083,    0.000083,    0.000084,    0.000083,    0.000083,    0.000084
Mult,USC,220307 02:22:31.875941,   50.081456,   14.572210,   70.183324,   55.441218,    0.019990,   -0.000200,  287.392477,   14.370000,    2.547938,    0.020000,   74.000000,    0.000006,    5.999215,   -0.396482,   -0.297257,   -4.883180,   -1.911419,   40.967648,    0.741575,   -0.949221,    1.075443,    0.000000,   -0.000001,   -0.000002,    0.000002,    0.000083,    0.000084,    0.000083,    0.000084,    0.000084,    0.000083
Mult,USC,220307 02:22:31.975941,   50.118696,   14.572210,   70.177100,   55.439774,    0.020020,   -0.000200,  287.155647,   14.358000,    2.547938,   -9.580000,   74.000000,    0.000009,    5.999233,   -0.399357,   -0.308255,   -4.900318,   -1.956663,   41.065904,    0.635913,   -0.995124,    1.071108,    0.000000,   -0.000000,   -0.000002,    0.000002,    0.000084,    0.000084,    0.000084,    0.000084,    0.000084,    0.000084
Mult,USC,220307 02:22:32.075941,   50.080350,   14.572200,   70.161049,   55.454163,    0.019990,   -0.000200,  286.918818,   14.346000,    2.547938,    0.040000,   74.000000,    0.000006,    5.999252,   -0.406462,   -0.308009,   -4.894696,   -1.967399,   41.041322,    0.575621,   -0.978022,    1.074898,    0.000000,   -0.000000,   -0.000003,    0.000001,    0.000085,    0.000084,    0.000085,    0.000084,    0.000085,    0.000085
Mult,USC,220307 02:22:32.175941,   50.358047,   14.572220,   70.212723,   55.546457,    0.020210,   -0.000210,  286.741196,   14.340000,    2.682040,    0.340000,   74.000000,    0.000006,    5.999269,   -0.399833,   -0.293124,   -4.875983,   -1.895353,   40.938887,    0.744256,   -0.977640,    1.071568,   -0.000000,    0.000000,    0.000003,   -0.000002,    0.000084,    0.000083,    0.000084,    0.000084,    0.000084,    0.000083
Mult,USC,220307 02:22:32.275941,   49.917335,   14.572230,   70.160755,   55.523361,    0.019860,   -0.000210,  286.563574,   14.331000,    2.950244,    0.590000,   74.000000,    0.000006,    5.999286,   -0.394191,   -0.300081,   -4.870654,   -1.893550,   40.912980,    0.735571,   -0.956914,    1.064043,    0.000000,    0.000000,   -0.000000,   -0.000003,    0.000082,    0.000083,    0.000083,    0.000083,    0.000083,    0.000083
Mult,USC,220307 02:22:32.375941,   50.145007,   14.572260,   70.203252,   55.445618,    0.020040,   -0.000210,  286.445159,   14.322000,    2.816142,    0.200000,   74.000000,    0.000009,    5.999308,   -0.397155,   -0.296692,   -4.875481,   -1.897818,   40.979953,    0.696494,   -1.031809,    1.053350,    0.000000,   -0.000000,   -0.000002,    0.000002,    0.000083,    0.000084,    0.000083,    0.000083,    0.000083,    0.000083
Mult,USC,220307 02:22:32.475941,   50.194962,   14.572270,   70.202916,   55.432533,    0.020080,   -0.000210,  286.267537,   14.316000,    2.816142,    0.590000,   74.000000,    0.000006,    5.999329,   -0.399324,   -0.296654,   -4.881720,   -1.927837,   41.032261,    0.653873,   -0.935170,    1.047400,    0.000000,   -0.000000,   -0.000002,    0.000002,    0.000084,    0.000084,    0.000084,    0.000083,    0.000084,    0.000084
Mult,USC,220307 02:22:32.575941,   50.392835,   14.572250,   70.168215,   55.459425,    0.020240,   -0.000210,  286.149123,   14.310000,    2.950244,    0.560000,   74.000000,    0.000006,    5.999353,   -0.402538,   -0.306249,   -4.895695,   -1.925120,   41.104701,    0.644469,   -1.052154,    1.049137,    0.000000,    0.000000,   -0.000003,   -0.000001,    0.000084,    0.000084,    0.000084,    0.000084,    0.000084,    0.000084
